SectorANZSIC,Sector,SectorGroup,Fuel,FuelGroup,Technology,TechnologyGroup,EndUse,EndUseGroup,Transport,Period,PeriodEndDate,TJ
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Burner (Direct Heat),Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,242.501138
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Reformer,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,15144.11338
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,"Pump Systems (for Fluids, etc.)",Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,874.704595
C17-C19,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Industrial,Natural Gas,Fossil Fuels,Heat Pump (for Heating),Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2022,31/12/2022,15.807588
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,1744.139587
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Furnace/Kiln,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,30.80091
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Intermediate Heat (100-300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,154.917422
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Natural Gas,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,361.479619
E,Construction,Industrial,Natural Gas,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,309.661597
A04,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Internal Combustion Engine (Sea Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,2169.95797
Q,Health Care and Social Assistance,Commercial,Diesel,Fossil Fuels,Boiler Systems,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Space Heating",Heating/Cooling,Non-Transport,2022,31/12/2022,25.379556
J,Information Media and Telecommunications,Commercial,Diesel,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,
B,Mining,Industrial,Diesel,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,4082.154561
"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Non-Dairy Agriculture,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,6900.863682
A016,Dairy Cattle Farming,"Agriculture, Forestry and Fishing",Diesel,Fossil Fuels,Internal Combustion Engine (Land Transport),Mobile Motors,"Motive Power, Mobile",Mobile Motive Power,Non-Transport,2022,31/12/2022,3326.27047
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Electricity,Electricity,Resistance Heater,Heat/Cooling Devices,"Low Temperature Heat (<100 C), Water Heating",Heating/Cooling,Non-Transport,2022,31/12/2022,51.208201
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Electricity,Electricity,Refrigeration Systems,Heat/Cooling Devices,Refrigeration,Heating/Cooling,Non-Transport,2022,31/12/2022,1849.39057
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,1161.329598
C111-C112,Meat and Meat Product Manufacturing and Seafood,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2022,31/12/2022,184.872154
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Electricity,Electricity,Lights,Electronics and Lights,Lighting,Electronics and Lighting,Non-Transport,2022,31/12/2022,4.562844
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Electricity,Electricity,Furnace/Kiln,Heat/Cooling Devices,"High Temperature Heat (>300 C), Process Requirements",Heating/Cooling,Non-Transport,2022,31/12/2022,169.50119
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Electricity,Electricity,Electric Motor,Stationary Motors,"Motive Power, Stationary",Stationary Motive Power,Non-Transport,2022,31/12/2022,744.250492
C20,Non-Metallic Mineral Product Manufacturing,Industrial,Electricity,Electricity,"Pump Systems (for Fluids, etc.)",Stationary Motors,Pumping,Stationary Motive Power,Non-Transport,2022,31/12/2022,7.533584
